IN_LOCAL_FUNC_SALAS_OUTRA_ESC;IN_ESGOTO_REDE_PUBLICA;IN_ESGOTO_INEXISTENTE;IN_SALA_DIRETORIA;IN_LABORATORIO_INFORMATICA;IN_BANHEIRO_DENTRO_PREDIO;IN_SECRETARIA;IN_AUDITORIO;IN_LAVANDERIA;IN_EQUIP_TV;IN_EQUIP_COPIADORA;IN_EQUIP_IMPRESSORA;IN_BANDA_LARGA;IN_EDUCACAO_INDIGENA;IN_COMUM_EJA_FUND;TX_RESP_Q004_C;TX_RESP_Q015_A;TX_RESP_Q034_A;TX_RESP_Q041_C;TX_RESP_Q056_C
0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.06227106227106227;0.0;0.06532663316582915;0.023255813953488372;0.043478260869565216
0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.12087912087912088;0.0;0.11055276381909547;0.13953488372093023;0.34782608695652173
1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.21245421245421245;0.16666666666666666;0.32160804020100503;0.5348837209302325;0.13043478260869565
0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.08424908424908426;0.0;0.11557788944723617;0.046511627906976744;0.043478260869565216
0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.047619047619047616;0.16666666666666666;0.11557788944723617;0.41860465116279066;0.043478260869565216
0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.12454212454212454;0.16666666666666666;0.18592964824120606;0.32558139534883723;0.043478260869565216
1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.02564102564102564;0.0;0.06030150753768844;0.13953488372093023;0.0
0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.1794871794871795;0.0;0.1206030150753769;0.18604651162790697;0.043478260869565216
1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.014652014652014652;0.0;0.08040201005025126;0.13953488372093023;0.0
0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13186813186813187;0.0;0.19095477386934676;0.11627906976744186;0.08695652173913043
0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.25274725274725274;0.08333333333333333;0.19597989949748745;0.13953488372093023;0.043478260869565216
0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.12087912087912088;0.0;0.1206030150753769;0.3023255813953488;0.0
0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.2783882783882784;0.08333333333333333;0.26633165829145733;0.13953488372093023;0.13043478260869565
0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02564102564102564;0.0;0.005025125628140703;0.0;0.043478260869565216
