IN_AUDITORIO;IN_PATIO_COBERTO;NU_EQUIP_IMPRESSORA;NU_EQUIP_MULTIMIDIA;IN_EJA;IN_COMUM_EJA_MEDIO;TX_RESP_Q004_C;TX_RESP_Q004_F;TX_RESP_Q004_G;TX_RESP_Q004_H;TX_RESP_Q013_C;TX_RESP_Q018_B;TX_RESP_Q019_F;TX_RESP_Q023_F;TX_RESP_Q041_C;TX_RESP_Q042_B;TX_RESP_Q042_C
0.0;0.0;0.0;0.1875;0.0;0.0;0.05128205128205128;0.13953488372093023;0.0625;0.0;0.05660377358490566;0.058823529411764705;0.03571428571428571;0.023255813953488372;0.18604651162790697;0.07272727272727272;0.0
0.0;1.0;0.0;0.0;1.0;1.0;0.17216117216117216;0.27906976744186046;0.375;0.1935483870967742;0.03773584905660377;0.1764705882352941;0.13095238095238093;0.046511627906976744;0.3953488372093023;0.2545454545454545;0.1764705882352941
1.0;1.0;0.3333333333333333;0.125;1.0;1.0;0.34065934065934067;0.3023255813953488;0.375;0.4838709677419355;0.05660377358490566;0.38823529411764707;0.21428571428571427;0.18604651162790697;0.6976744186046512;0.34545454545454546;0.29411764705882354
0.0;0.0;0.3333333333333333;0.125;0.0;0.0;0.014652014652014652;0.0;0.125;0.0;0.0;0.03529411764705882;0.0;0.0;0.0;0.0;0.11764705882352941
0.0;1.0;0.0;0.0;1.0;1.0;0.30036630036630035;0.41860465116279066;0.5625;0.45161290322580644;0.07547169811320754;0.4823529411764706;0.15476190476190477;0.11627906976744186;0.627906976744186;0.2545454545454545;0.4117647058823529
0.0;1.0;0.3333333333333333;0.25;1.0;1.0;0.25274725274725274;0.3488372093023256;0.375;0.1935483870967742;0.07547169811320754;0.43529411764705883;0.05952380952380952;0.09302325581395349;0.3488372093023256;0.18181818181818182;0.29411764705882354
1.0;1.0;0.5;0.125;0.0;0.0;0.1575091575091575;0.06976744186046512;0.125;0.06451612903225806;0.03773584905660377;0.12941176470588234;0.05952380952380952;0.023255813953488372;0.16279069767441862;0.09090909090909091;0.23529411764705882
0.0;1.0;0.16666666666666666;0.0625;0.0;0.0;0.0989010989010989;0.09302325581395349;0.0;0.0;0.018867924528301886;0.09411764705882353;0.023809523809523808;0.0;0.046511627906976744;0.05454545454545454;0.11764705882352941
0.0;1.0;0.6666666666666666;0.75;1.0;1.0;0.3333333333333333;1.0;0.625;1.0;0.11320754716981132;1.0;0.16666666666666666;0.023255813953488372;0.6976744186046512;1.0;0.7647058823529411
0.0;1.0;0.16666666666666666;0.0625;1.0;1.0;0.16117216117216118;0.3023255813953488;0.0;0.0967741935483871;0.1320754716981132;0.16470588235294117;0.07142857142857142;0.0;0.20930232558139533;0.18181818181818182;0.11764705882352941
1.0;1.0;0.16666666666666666;0.25;0.0;0.0;0.15018315018315018;0.18604651162790697;0.1875;0.0;0.1509433962264151;0.10588235294117647;0.09523809523809523;0.046511627906976744;0.13953488372093023;0.03636363636363636;0.11764705882352941
0.0;1.0;0.16666666666666666;0.1875;0.0;0.0;0.2783882783882784;0.23255813953488372;0.25;0.5161290322580645;0.1320754716981132;0.3176470588235294;0.17857142857142855;0.3023255813953488;0.23255813953488372;0.34545454545454546;0.47058823529411764
0.0;1.0;0.0;0.125;0.0;0.0;0.16483516483516483;0.2558139534883721;0.0625;0.22580645161290322;0.16981132075471697;0.21176470588235294;0.023809523809523808;0.06976744186046512;0.3953488372093023;0.2909090909090909;0.058823529411764705
0.0;0.0;0.16666666666666666;0.125;0.0;0.0;0.040293040293040296;0.046511627906976744;0.125;0.03225806451612903;0.0;0.0;0.011904761904761904;0.023255813953488372;0.09302325581395349;0.03636363636363636;0.058823529411764705
0.0;1.0;0.0;0.0625;1.0;1.0;0.05128205128205128;0.06976744186046512;0.0625;0.06451612903225806;0.018867924528301886;0.10588235294117647;0.0;0.0;0.13953488372093023;0.12727272727272726;0.0
1.0;0.0;0.0;0.125;0.0;0.0;0.0695970695970696;0.023255813953488372;0.0625;0.0;0.0;0.047058823529411764;0.011904761904761904;0.023255813953488372;0.023255813953488372;0.0;0.0
1.0;1.0;0.16666666666666666;0.125;0.0;0.0;0.336996336996337;0.23255813953488372;0.125;0.03225806451612903;0.20754716981132074;0.3176470588235294;0.30952380952380953;0.23255813953488372;0.23255813953488372;0.23636363636363636;0.058823529411764705
