CO_MUNICIPIO;IN_BIBLIOTECA_SALA_LEITURA;IN_REFEITORIO;IN_EQUIP_IMPRESSORA;NU_EQUIP_COPIADORA;NU_EQUIP_FOTO;IN_MATERIAL_ESP_NAO_UTILIZA;IN_EJA;IN_PROFISSIONALIZANTE;TX_RESP_Q004_C;TX_RESP_Q004_E;TX_RESP_Q005_A;TX_RESP_Q019_F;TX_RESP_Q027_B;TX_RESP_Q036_C;TX_RESP_Q036_E;TX_RESP_Q037_D;TX_RESP_Q039_D;TX_RESP_Q042_B;TX_RESP_Q043_A
0.06370046194990664;1.0;0.0;1.0;0.6000000000000001;0.23076923076923078;1.0;1.0;1.0;0.07734806629834254;0.18181818181818182;0.17391304347826086;0.0;0.13333333333333333;0.07608695652173914;0.05555555555555555;0.06666666666666667;0.06666666666666667;0.02631578947368421;0.1111111111111111
0.06370046194990664;1.0;0.0;1.0;0.0;0.07692307692307693;1.0;1.0;0.0;0.11049723756906077;0.045454545454545456;0.043478260869565216;0.08163265306122448;0.06666666666666667;0.05434782608695652;0.027777777777777776;0.13333333333333333;0.06666666666666667;0.05263157894736842;0.046296296296296294
0.06370046194990664;1.0;0.0;1.0;0.0;0.07692307692307693;1.0;1.0;0.0;0.06629834254143646;0.030303030303030304;0.08695652173913043;0.04081632653061224;0.06666666666666667;0.03260869565217391;0.08333333333333333;0.08333333333333333;0.06666666666666667;0.07894736842105263;0.09259259259259259
0.06370046194990664;1.0;0.0;1.0;0.4;0.3076923076923077;1.0;1.0;0.0;0.15469613259668508;0.09090909090909091;0.34782608695652173;0.04081632653061224;0.06666666666666667;0.06521739130434782;0.3055555555555555;0.2;0.2;0.02631578947368421;0.18518518518518517
0.06370046194990664;1.0;0.0;1.0;0.6000000000000001;0.07692307692307693;1.0;0.0;0.0;0.03867403314917127;0.09090909090909091;0.0;0.02040816326530612;0.0;0.03260869565217391;0.08333333333333333;0.06666666666666667;0.13333333333333333;0.02631578947368421;0.10185185185185185
0.06370046194990664;0.0;0.0;0.0;0.2;0.23076923076923078;1.0;0.0;0.0;0.287292817679558;0.07575757575757576;0.043478260869565216;0.6530612244897959;0.2;0.21739130434782608;0.05555555555555555;0.08333333333333333;0.0;0.13157894736842105;0.08333333333333333
0.06971796742035963;1.0;0.0;1.0;0.2;0.15384615384615385;1.0;0.0;0.0;0.3756906077348066;0.07575757575757576;0.21739130434782608;0.14285714285714285;0.26666666666666666;0.25;0.19444444444444442;0.13333333333333333;0.06666666666666667;0.07894736842105263;0.12962962962962962
0.06971796742035963;1.0;0.0;1.0;0.2;0.07692307692307693;1.0;1.0;1.0;0.2099447513812155;0.3181818181818182;0.2608695652173913;0.1020408163265306;0.26666666666666666;0.17391304347826086;0.25;0.31666666666666665;0.2;0.5789473684210527;0.35185185185185186
0.06971796742035963;1.0;1.0;1.0;1.0;0.07692307692307693;1.0;0.0;0.0;0.34806629834254144;0.2272727272727273;0.17391304347826086;0.24489795918367346;0.3333333333333333;0.2717391304347826;0.16666666666666666;0.16666666666666666;0.0;0.21052631578947367;0.15740740740740738
0.06971796742035963;1.0;0.0;1.0;0.0;0.15384615384615385;1.0;0.0;0.0;0.04419889502762431;0.13636363636363635;0.043478260869565216;0.061224489795918366;0.06666666666666667;0.043478260869565216;0.08333333333333333;0.16666666666666666;0.0;0.15789473684210525;0.07407407407407407
0.06971796742035963;1.0;0.0;1.0;0.4;0.07692307692307693;1.0;1.0;0.0;0.14917127071823205;0.13636363636363635;0.08695652173913043;0.061224489795918366;0.13333333333333333;0.06521739130434782;0.05555555555555555;0.15;0.06666666666666667;0.2894736842105263;0.19444444444444442
0.06971796742035963;1.0;1.0;1.0;0.6000000000000001;0.07692307692307693;1.0;0.0;0.0;0.6574585635359116;0.21212121212121213;0.21739130434782608;0.9999999999999999;0.4;0.6195652173913043;0.1111111111111111;0.18333333333333332;0.0;0.2631578947368421;0.15740740740740738
